season,regime,consistency_prob
1,rank,1.0
2,rank,0.75
3,percent,0.9
4,percent,1.0
5,percent,0.9
6,percent,1.0
7,percent,0.9
8,percent,1.0
9,percent,1.0
10,percent,1.0
11,percent,1.0
12,percent,0.9
13,percent,0.9
14,percent,0.9
15,percent,0.9
16,percent,0.9
17,percent,1.0
18,percent,1.0
19,percent,0.9090909090909091
20,percent,0.9
21,percent,1.0
22,percent,0.9
23,percent,1.0
24,percent,0.9
25,percent,1.0
26,percent,1.0
27,percent,0.8888888888888888
28,bottom2,1.0
29,bottom2,0.8181818181818182
30,bottom2,0.9
31,bottom2,0.9
32,bottom2,0.9090909090909091
33,bottom2,0.7777777777777778
34,bottom2,0.9090909090909091
