season,total_celebrity_benefit,total_dancer_effect,CCVI,fan_satisfaction,total_discrepancy,celebrity_norm,dancer_norm,ccvi_norm,satisfaction_norm,discrepancy_norm,total_benefit
1,6.793640371235637,3.0020531547981326,10.584269662921349,0.3714285714285715,5.233333333333333,0.011845418375120851,0.0,0.0,0.0791851384054431,0.9000540467343786,0.19821692070298852
2,15.510793290087076,5.690853317102858,67.26966292134831,0.5878787878787878,5.939285714285714,0.24415355901929905,0.04677790753642037,0.6719499200852423,0.4041241533267685,0.8767934696988552,0.5112770031881992
3,22.951647528958976,15.188051125989038,62.94044943820225,0.7181818181818183,11.1,0.4424489232429241,0.21200366406061358,0.620631326584976,0.5997374403094068,0.7067519832755943,0.5571774337471392
4,24.067594217003546,22.40406086427266,72.25955056179775,0.6545454545454547,8.975757575757576,0.4721883923759058,0.33754286963326086,0.731100159829515,0.5042053699225371,0.7767441043936768,0.6037119082506046
5,23.534492338809322,28.258701562182985,92.6,0.7272727272727274,11.773881673881672,0.4579814710048928,0.43939790708277693,0.9722163026105487,0.6133848789361026,0.6845481108741647,0.6867875736544744
6,25.929474930890862,23.043427470075056,47.02247191011236,0.7412587412587414,9.121031746031747,0.5218066623283627,0.34866613285951087,0.43193926478423006,0.6343809383617882,0.7719574344707347,0.5500773997533972
7,24.250639683111633,34.12366788395211,47.860674157303364,0.6538461538461539,8.503613053613053,0.47706647037691885,0.5414325826790375,0.4418753329781565,0.5031555669512526,0.7923008959359434,0.5412104448141737
8,35.26087753427238,38.55781700142015,52.78876404494382,0.6538461538461539,9.993520368520368,0.7704842762894386,0.6185748784611934,0.5002930207778369,0.5031555669512526,0.743209618947207,0.6153152865170501
9,29.51149280260555,39.794537228646774,45.385393258426966,0.7764705882352941,12.148781773781774,0.6172658012557884,0.6400904917256766,0.4125332978156632,0.6872416056217496,0.6721954467432112,0.5831096092414165
10,25.284202072344268,20.295048082775402,60.115730337078645,0.8181818181818182,7.4522005772005775,0.5046104356047336,0.30085170668664585,0.5871470431539689,0.7498592652030592,0.8269441120558597,0.6225120461875858
11,27.484246734787916,35.86404463379995,94.9438202247191,0.7762237762237763,10.178282828282828,0.5632406202102107,0.5717104678949979,1.0,0.6868710869260022,0.7371218408696267,0.7546177563906677
12,25.852411756191046,26.33569791032663,81.08202247191011,0.881818181818182,10.171645021645022,0.519752963948478,0.4059428038438547,0.8356819392647842,0.845391335589929,0.737340551390069,0.7117958323495159
13,29.810723851538274,28.817514303104073,65.29213483146067,0.5594405594405596,13.106060606060607,0.6252401719302135,0.44911974922316644,0.6485082578582844,0.3614321658278747,0.6406538603366918,0.564929691898758
14,34.764155022475066,28.25175735443294,59.7123595505618,0.6153846153846154,11.755339105339106,0.7572468484037587,0.43927709650242985,0.5823654768247203,0.4454164035306172,0.6851590739584439,0.596201817876223
15,35.00696318216325,18.03847961046865,44.132584269662914,0.7142857142857143,16.021065046065047,0.7637175748709305,0.26159347067973965,0.3976824720298347,0.5938885380408229,0.5446067512609458,0.5259066615114643
16,28.61731253165433,26.62090119699735,42.257303370786516,0.6503496503496504,7.304401154401154,0.5934363057680857,0.4109045757003138,0.3754528502930207,0.49790655209483137,0.8318139870681005,0.5383576816441411
17,34.86605903458536,34.839271251775195,35.32471910112359,0.6923076923076924,15.10670995670996,0.7599625437457929,0.5538821609861463,0.2932738412360148,0.5608947303718884,0.574734034017715,0.5224886300964984
18,32.389026217978106,25.929284033272456,49.80898876404494,0.8671328671328673,11.625577200577201,0.6939507514441773,0.39887229297849436,0.4649706979222162,0.8233454731929593,0.689434626904265,0.6207246089827947
19,37.53100622664453,33.06903976465813,64.67977528089887,0.7197802197802198,11.087357087357088,0.8309821682568378,0.5230848834556946,0.6412493340436866,0.6021369899580564,0.7071685573270723,0.6727408316670688
20,26.549938427992107,31.458761700355563,50.04269662921348,0.8251748251748254,12.730158730158731,0.5383417309099249,0.4950703662536034,0.4677410761854021,0.7603572949159024,0.6530395322008725,0.580177071086321
21,37.553433897289864,32.07555103793361,44.942696629213486,0.8846153846153846,12.51001221001221,0.8315798554277638,0.5058008455979459,0.40728556206712835,0.849590547475066,0.6602931873044395,0.6410584712213869
22,29.994257200083858,21.007885489743828,38.60561797752809,0.8041958041958043,12.404040404040405,0.6301312517751732,0.3132531646972288,0.33216568993074047,0.7288632057773736,0.6637848751617357,0.5355308899918015
23,43.873247532662965,38.01329103334058,32.762921348314606,0.8461538461538461,11.672852147852147,1.0,0.6091015878302629,0.2629062333510921,0.7918513840544303,0.6878769544852619,0.6357276964962925
24,28.639114058377036,27.879310313493853,39.68651685393259,0.7342657342657343,11.243795093795091,0.5940173064896863,0.432797517436826,0.3449786893979755,0.6238829086489452,0.7020140477620987,0.5307562111432214
25,39.124236570207124,29.421459432465834,23.592134831460676,0.7582417582417583,14.416064491064489,0.8734410286412302,0.4596267738114646,0.15419552477357484,0.6598761533786922,0.5974902602042587,0.5183828232580552
26,6.349151757632294,6.876731182795695,13.941573033707865,0.9848069807617046,2.2,0.0,0.067409000143659,0.03979754928076717,1.0,1.0,0.41868016479859604
27,26.033639910238755,34.32888027785509,27.120224719101124,0.5384615384615384,13.997707847707847,0.5245826114137823,0.545002727653699,0.19601758124667018,0.32993807668934594,0.6112747833444625,0.4064646414288891
28,39.444321569063185,36.063052653536396,27.415730337078653,0.4755244755244756,26.184920634920633,0.8819711475486938,0.5751726734083515,0.1995205114544486,0.2354558092737606,0.2097156845525,0.3828019490521606
29,40.9539666492647,46.91581976610491,21.54494382022472,0.4392857142857142,32.05715118215118,0.92220249887165,0.7639816982006146,0.12992807671816728,0.1810535195832785,0.016230295594766297,0.3392738556454506
30,40.62039963369583,48.616020467359995,27.811235955056176,0.42142857142857143,27.883755133755137,0.9133130903814703,0.7935606279818803,0.2042088438998401,0.15424605085226922,0.1537404207855092,0.38487862837198983
31,34.545912006750235,49.364207860138784,15.731460674157304,0.3941176470588235,27.37066544566545,0.751430771794391,0.8065770808852907,0.06101491742141715,0.11324639279307841,0.17064632341854802,0.3060268809161577
32,36.746483939064824,48.535486482420254,28.201123595505614,0.3186813186813187,32.54973637473638,0.8100750079009115,0.792159552753656,0.20883058071390506,0.0,0.0,0.30388013106971945
33,31.269210321268357,35.76706685956143,44.019101123595505,0.639120882461334,21.316608391608394,0.6641081696688983,0.5700233148592256,0.39633724027703776,0.48104972082781833,0.3701227531082817,0.4789596322900336
34,39.537243215178805,60.48218221382623,93.6191011235955,0.44884515609416886,30.831024531024532,0.8844474669428429,1.0,0.9842967501331912,0.19540432807577737,0.05663020668418506,0.6225854253805184
